"","binomial","intercept","slope","resid.std.err","df","std.err.slope","std.err.intercept","r.squared","sample.size"
"1","Zapus hudsonius",-2.20737313216217,1.49736922334944,0.0800121796073041,35,0.740777517412129,1.72287152461488,0.104535229914303,37
"2","Thomomys talpoides",-6.87503394052095,3.83498866324839,9.96604298562738e-16,8,1.86160708407302e-14,4.25221513565835e-14,1,10
"3","Tamiasciurus hudsonicus",1.22326303722189,0.442574976461054,0.0751515094807206,120,0.184615474707041,0.463333938943212,0.0457025090291725,122
"4","Tamias minimus",-5.43064344211241,3.10366338809905,0.123715391720083,32,0.551012125805541,1.29676340544759,0.497856844949959,34
"5","Spermophilus beecheyi",-3.56294217291284,2.39680133544347,0.0849636514809785,83,0.244403898947079,0.642018452593949,0.536757499505684,85
"6","Sorex cinereus",-2.40723618402462,1.56289718512679,0.0946960167652724,149,0.160578296773214,0.320932326869586,0.388667561860937,151
"7","Sigmodon hispidus",-0.824046148955041,1.16020233689353,0.109367318011276,32,0.452221896348475,1.08021436781067,0.170599779756126,34
"8","Sciurus aureogaster",3.00118560081889,-0.0959348418990096,0.0707111391502068,25,0.0712409498277393,0.18921110004444,0.0676303225036354,27
"9","Reithrodontomys megalotis",-6.15742636181432,3.37038848609434,0.0661615980862384,428,0.0741307293910488,0.154144411492008,0.828464407950343,430
"10","Rattus exulans",-5.32903225013934,2.94814687489565,0.135186434029518,26,0.358439545649356,0.867860410022632,0.722369879659501,28
"11","Podomys floridanus",-10.4342332303955,5.21978983885897,0.267680135767581,26,1.76465946730539,4.00668187509685,0.251788220136766,28
"12","Phoca largha",5.46337672100411,0.291834593565002,2.28534190670365,47,0.295919852778007,0.90433293512032,0.0202736648107867,49
"13","Peromyscus boylii",-1.9464939675426,1.46703092947932,0.0900259526046322,624,0.0598534671364266,0.131623185757832,0.490511797392433,626
"14","Parascalops breweri",0.964278950061873,0.351784981315533,0.0355094147816891,22,0.579920160442253,1.27235814991907,0.0164509699236942,24
"15","Neovison vison",1.44871133967854,1.3503348513935,1.08668543800856,10,5.61740647260546,15.3798718169076,0.00574524994476112,12
"16","Napaeozapus insignis",0.42318419281054,0.370566336968917,0.0542951613737949,58,0.140010314195927,0.328061951747646,0.107761767046277,60
"17","Myotis aurascens",3.37605733433075,-1.41710022524439,0.11273493449083,36,0.380113486403402,0.728860476251248,0.278538501873286,38
"18","Myodes gapperi",-2.91625377501479,2.01727539366499,0.126896533323768,29,0.60875060064337,1.2866712471509,0.274659904176417,31
"19","Mus musculus",-3.07443506165444,1.92269313623802,0.030200179332186,9,0.326342566662862,0.723580301415514,0.794104195212623,11
"20","Microtus chrotorrhinus",0.866869514551688,0.313051593915909,0.142928799253268,227,0.0694034823709462,0.151511087033867,0.0822555523690987,229
"21","Lutra canadensis",-10.4089216542393,5.34203071811823,1.26221190569566,17,10.8905969369886,32.865661840542,0.0139558670634941,19
"22","Lemmus sibiricus",-2.02303340221521,1.7646429630591,0.0383978599710083,20,0.387570861591799,0.82504082819004,0.508968450105648,22
"23","Histriophoca fasciata",5.11887819282172,0.460899213211684,2.50208866483095,11,1.08447593676617,2.65267254209198,0.0161549681191081,13
"24","Eptesicus fuscus",-6.77560477518527,3.8273865319137,0.0432531867770346,16,0.374809841430507,0.761557026337511,0.86697218184248,18
"25","Desmodus rotundus",0.535926861968413,0.486189484354824,0.0573999621693699,13,0.617359611764975,1.16059516941448,0.0455356013321069,15
"26","Condylura cristata",9.35918551008508,-3.35645193053982,0.0671605399008561,8,1.73476095522392,3.95046852745736,0.318773961056431,10
"27","Clethrionomys gapperi",-3.51860229251283,2.29805783296753,0.0862861675128589,38,0.330680382178777,0.702185919147458,0.559651669504875,40
"28","Canis latrans",5.40448223870619,0.409420055711964,1.4993623221695,26,0.273751404325556,0.745883294714535,0.0792154998060354,28
"29","Blarina brevicauda",0.0582335528804539,0.58963911251663,0.0629942612387271,74,0.236031642164238,0.491860189683703,0.0777745480262991,76
