"","scientificName","sample.outlier.mass","sample.mass","sample.outlier.total.length","sample.total.length"
"1","Abrothrix olivaceus",4,17,0,21
"2","Aepyceros melampus",78,9,87,0
"3","Aethomys hindei",25,0,1,24
"4","Akodon aerosus",4,25,10,19
"5","Akodon albiventer",0,17,14,3
"6","Akodon boliviensis",1,28,17,12
"7","Akodon dayi",2,35,37,0
"8","Akodon dolores",0,17,0,17
"9","Akodon fumeus",0,28,18,10
"10","Akodon mimus",3,51,40,14
"11","Akodon montensis",0,23,0,23
"12","Akodon puer",1,14,15,0
"13","Akodon simulator",0,35,2,33
"14","Akodon toba",0,12,12,0
"15","Akodon tucumanensis",0,22,0,22
"16","Alcelaphus buselaphus",19,0,19,0
"17","Alopex lagopus",38,0,38,0
"18","Ametrida centurio",15,0,15,0
"19","Anoura geoffroyi",20,33,7,46
"20","Antechinus stuartii",10,0,0,10
"21","Antrozous pallidus",32,59,20,71
"22","Aplodontia rufa",12,100,0,112
"23","Apodemus draco",19,0,0,19
"24","Apodemus sylvaticus",18,0,10,8
"25","Apomys datae",22,0,22,0
"26","Apomys insignis",24,0,24,0
"27","Apomys microdon",20,0,20,0
"28","Arborimus albipes",3,100,1,102
"29","Arborimus longicaudus",5,67,0,72
"30","Artibeus (Artibeus)",25,0,0,25
"31","Artibeus (Dermanura)",26,0,0,26
"32","Artibeus anderseni",5,28,23,10
"33","Artibeus concolor",14,0,14,0
"34","Artibeus gnomus",22,0,22,0
"35","Artibeus intermedius",15,0,2,13
"36","Artibeus jamaicensis",67,193,37,223
"37","Artibeus lituratus",32,225,34,223
"38","Artibeus obscurus",2,72,15,59
"39","Artibeus phaeotis",18,37,10,45
"40","Artibeus planirostris",1,60,4,57
"41","Artibeus toltecus",7,48,2,53
"42","Artibeus watsoni",28,0,9,19
"43","Baiomys musculus",2,36,1,37
"44","Baiomys taylori",7,10,0,17
"45","Balantiopteryx plicata",25,32,2,55
"46","Bassariscus astutus",12,0,2,10
"47","Batomys salomonseni",10,0,10,0
"48","Blarina brevicauda",261,275,22,514
"49","Blarina carolinensis",56,66,2,120
"50","Blarina hylophaga",59,90,3,146
