"","binomial","intercept","slope","resid.std.err","df","std.err.slope","std.err.intercept","r.squared","sample.size"
"1","Carollia sowelii",-2.15716606669358,1.84493995520824,0.114232555422695,11,0.709554068910503,1.29730469755463,0.380656028669855,13
"2","Carollia castanea",0.972366638582041,0.0378064301471426,0.0783333360772506,19,0.103670041206855,0.183922505511878,0.00695091400048732,21
"3","Carollia brevicauda",1.10573476770776,0.00750731689764127,0.172139949867895,65,0.0348846154324821,0.0723678127738305,0.000711998263084844,67
"4","Canis lupus",1.83397637912097,0.821961108500315,0.45632982772396,143,0.509161861313033,1.63219541856433,0.0178982777229699,145
"5","Canis latrans",2.90998027374831,0.304716995224887,0.666230826724976,162,0.133585638808993,0.398562921476601,0.0311192501580555,164
"6","Calomys musculinus",0.903464582928404,0.127658557838142,0.204399548002748,11,0.204632443366179,0.437000952917637,0.0341710574377832,13
"7","Calomys callosus",1.2304104332254,0.103870047114892,0.154382818246831,97,0.0320698540862818,0.0683539432995235,0.0975927449314426,99
"8","Calomys boliviae",-6.09150345287259,3.35028677042512,0.0525106366247166,11,0.403824179062111,0.923523869935154,0.862207616357213,13
"9","Callorhinus ursinus",3.35324495694689,0.373011160520788,0.378006204027136,10,0.361705907807328,1.08467932739562,0.0961258941771743,12
"10","Blarina hylophaga",-0.503138719571381,0.810322147452851,0.0818901652831881,132,0.14300403973544,0.288514064136419,0.195653655769233,134
"11","Blarina carolinensis",-1.99280944803117,1.48258740748263,0.0957681324535006,67,0.409318756709193,0.801948910303003,0.163749161586359,69
"12","Blarina brevicauda",1.1087644590573,0.0889294554633354,0.183221459641586,260,0.0585866271547639,0.121572223401285,0.00878393789298245,262
"13","Batomys salomonseni",0.778778807013242,0.603206075176412,0.0786175212748417,8,0.297609121579274,0.733726789360201,0.339284203897104,10
"14","Balantiopteryx plicata",-0.427329574974459,0.660164517039054,0.156356068914562,34,0.604914539487253,1.09102046718192,0.0338442229580675,36
"15","Baiomys taylori",-1.87011088619185,1.37636736468573,0.0580271673089251,8,0.797265962443509,1.56864881200707,0.271423505518182,10
"16","Baiomys musculus",-0.358415748253975,0.681583558924004,0.068724363218464,36,0.273160588296336,0.567032764329097,0.147442681034603,38
"17","Artibeus watsoni",0.490886171880352,0.321946229646107,0.0439108013912111,13,0.366340190981271,0.632177994559981,0.0560777308210971,15
"18","Artibeus toltecus",1.40439633420356,-0.146080420377389,0.0637970962961292,51,0.168967000422577,0.30141008947231,0.0144441272326239,53
"19","Artibeus planirostris",-1.55434387275561,1.67739569383201,0.0597549508075495,59,0.238484663560917,0.466827095438736,0.456075501553095,61
"20","Artibeus phaeotis",1.14194377412296,-0.0881630787361683,0.182200254121209,43,0.178743629150102,0.310607312587563,0.00562592180223222,45
