"","MSW05_Binomial","sample.size","min.mass","max.mass","avg.mass","sd.err.mass","pan.mass","mass.diff"
"1","Abrothrix olivaceus",17,10,36,25.5882352941176,1.66287053263461,24.52,0.642404368321547
"2","Akodon aerosus",26,9,48,26.9423076923077,1.69486258192151,59.99,19.4987444175122
"3","Akodon albiventer",17,16,27,21.2941176470588,0.839137801040418,25.95,5.54841212869747
"4","Akodon boliviensis",29,12,24,16.5172413793103,0.533647846225592,27.5,20.5805358315769
"5","Akodon dayi",36,5,60,39.1805555555556,2.12124109914584,32.49,3.15407595970568
"6","Akodon dolores",17,24,64,41.4411764705882,2.73050656288634,50.49,3.31397245200045
"7","Akodon fumeus",28,11,27,18.2678571428571,0.896968049477697,22.69,4.93010075411032
"8","Akodon mimus",54,12,32,19.4074074074074,0.448437397630543,23.99,10.2190241420678
"9","Akodon simulator",35,14,75,40.1428571428571,2.25930116998834,42.5,1.04330617292382
"10","Akodon toba",12,31,62,40.875,2.89665755656412,51.2,3.56445309753737
"11","Ametrida centurio",15,6,14,7.93333333333333,0.635959467611297,10.61,4.2088636194385
"12","Anoura geoffroyi",44,5,31,13.9977272727273,0.700283004075249,15.15,1.64543865918087
"13","Antrozous pallidus",64,4.3,110,20.2109375,1.79979657027744,22.24,1.12738435749281
"14","Aplodontia rufa",101,11,1447,848.265346534653,29.5572316605754,806.21,1.42284456872017
"15","Apodemus sylvaticus",10,14.8,37,21.54,2.18012232072729,21.9,0.165128349256983
"16","Apomys datae",22,58,100,84.3181818181818,2.15361004042469,34.88,22.9559580844231
"17","Apomys insignis",24,17,43,30.8958333333333,1.26476037666685,34.88,3.15013558312646
"18","Apomys microdon",20,24,42,30.5875,1.0015243316276,34.98,4.38581456414709
"19","Arborimus albipes",101,7.38,34,19.0831683168317,0.533827222589932,23,7.33726478796885
"20","Arborimus longicaudus",69,13.9,39,25.6115942028986,0.623791367536162,22.39,5.1645379698394
"21","Artibeus concolor",14,16,21,18.5714285714286,0.428571428571429,19.65,2.51666666666666
"22","Artibeus gnomus",22,7,15,10.2909090909091,0.319015605129923,10.06,0.723817541198494
"23","Artibeus jamaicensis",238,4.5,110,43.4144957983193,0.810034973738698,43.63,0.266043082912851
"24","Artibeus lituratus",247,4,110,57.9206477732793,0.972193165972009,59.3,1.41880469334667
"25","Artibeus obscurus",74,29,62,36.5135135135135,0.685841700881742,35.91,0.879960365107023
"26","Artibeus phaeotis",45,3.5,30.2,10.5866666666667,0.680957436484124,11.69,1.62026769107625
"27","Artibeus toltecus",53,10,19.9,14.0792452830189,0.292074290340879,15.47,4.7616471664041
"28","Artibeus watsoni",15,10,13.5,11.18,0.297641522960887,11.2,0.0671949256308159
"29","Baiomys musculus",38,7,14.6,11.5289473684211,0.286661955513439,8.99,8.85693870284795
"30","Baiomys taylori",10,5.5,8.5,6.95,0.321541426396178,7.43,1.49280920153841
